81-Tl 0.129 0.622 0.066 0.104 0.108 0.667 0.089 0.104 0.766 0.041
82-Pb 0.119 0.636 0.065 0.099 0.105 0.665 0.086 0.099 0.758 0.038
83-Bi 0.109 0.650 0.065 0.095 0.103 0.662 0.083 0.094 0.750 0.035
84-Po 0.120 0.631 0.066 0.096 0.111 0.645 0.086 0.087 0.756 0.045
85-At 0.131 0.612 0.067 0.098 0.120 0.628 0.089 0.080 0.762 0.055
86-Em 0.143 0.593 0.069 0.100 0.128 0.610 0.093 0.072 0.768 0.065
87-Fr 0.125 0.617 0.068 0.098 0.125 0.613 0.092 0.079 0.758 0.065
88-Ra 0.108 0.641 0.067 0.096 0.122 0.616 0.090 0.085 0.747 0.065
89-Ac 0.090 0.666 0.065 0.094 0.119 0.619 0.089 0.092 0.736 0.065
90-Th 0.072 0.690 0.063 0.091 0.116 0.623 0.088 0.097 0.725 0.066
