	57	0.0027	0.0027
	58	0.0029	0.0029
	59	0.0032	0.0032
	60	0.0034	0.0034
	61	0.0036	0.0036
	62	0.0039	0.0039
	63	0.0041	0.0057
	64	0.0060	0.0114
	65	0.0064	0.0120
	66	0.0068	0.0128
	67	0.0072	0.0136
	68	0.0077	0.0144
	69	0.0081	0.0153
	70	0.0086	0.0162
	71	0.0091	0.0171
	72	0.0096	0.0181
	73	0.0102	0.0191
	74	0.0107	0.0201
	75	0.0113	0.0212
	76	0.0119	0.0224
	77	0.0125	0.0235
	78	0.0132	0.0247
	79	0.0260	0.0260
	80	0.0273	0.0273
	81	0.0287	0.0287
	82	0.0301	0.0301
	83	0.0315	0.0315
	84	0.0330	0.0330
	85	0.0345	0.0345
	86	0.0361	0.0361
	87	0.0378	0.0378
	88	0.0395	0.0395
	89	0.0412	0.0412
	90	0.0430	0.0430
	91	0.0449	0.0449
	92	0.0468	0.0468
	93	0.0488	0.0488
	94	0.0508	0.0508
