0.250  0.838  0.582
0.243  0.788  0.613
0.235  0.737  0.643
0.228  0.699  0.649
0.220  0.661  0.654
0.213  0.631  0.657
0.205  0.601  0.660
0.198  0.574  0.660
0.190  0.546  0.660
0.183  0.523  0.658
0.175  0.500  0.656
0.168  0.481  0.652
0.160  0.461  0.648
0.153  0.445  0.642
0.145  0.429  0.636
0.138  0.417  0.632
0.130  0.405  0.627
0.123  0.393  0.622
0.115  0.380  0.616
0.108  0.372  0.611
0.100  0.364  0.605
0.093  0.356  0.601
0.085  0.347  0.596
0.078  0.341  0.591
0.070  0.335  0.586
0.063  0.330  0.581
0.055  0.325  0.576
0.048  0.322  0.573
0.040  0.318  0.570
0.033  0.315  0.567
0.025  0.312  0.563
0.018  0.310  0.559
0.010  0.307  0.555
0.003  0.305  0.552
0.000  0.297  0.548
0.000  0.297  0.545
0.000  0.297  0.542
0.000  0.297  0.539
0.000  0.297  0.536
0.000  0.297  0.534
0.000  0.297  0.531
0.000  0.297  0.529
0.000  0.297  0.527
0.000  0.297  0.525
0.000  0.297  0.522
0.000  0.297  0.520
0.000  0.297  0.518
0.000  0.297  0.516
0.000  0.297  0.513
0.000  0.297  0.512
0.000  0.297  0.510
0.000  0.297  0.508
0.000  0.297  0.506
0.000  0.297  0.505
0.000  0.297  0.503
0.000  0.297  0.502
0.000  0.297  0.500
0.000  0.297  0.499
0.000  0.297  0.498
0.000  0.297  0.496
0.000  0.297  0.494
0.000  0.297  0.493
0.000  0.297  0.492
0.000  0.297  0.491
0.000  0.297  0.490
0.000  0.297  0.489
0.000  0.297  0.487
0.000  0.297  0.486
0.000  0.297  0.484
0.000  0.297  0.483
0.000  0.297  0.481
0.000  0.297  0.480
0.000  0.297  0.479
0.000  0.297  0.478
0.000  0.297  0.477



