16-S  0.894  0.000 0.000 0.106
17-Cl 0.895  0.000 0.000 0.105
18-Ar 0.897  0.000 0.000 0.103
19-K  0.898  0.000 0.000 0.102
20-Ca 0.900  0.000 0.000 0.100
21-Sc 0.903  0.000 0.000 0.097
22-Ti 0.907  0.000 0.000 0.093
23-V  0.910  0.000 0.000 0.090
24-Cr 0.914  0.000 0.000 0.086
25-Mn 0.918  0.000 0.000 0.082
26-Fe 0.921  0.000 0.000 0.079
27-Co 0.925  0.000 0.000 0.075
28-Ni 0.929  0.000 0.000 0.071
29-Cu 0.933  0.000 0.000 0.067
30-Zn 0.936  0.000 0.000 0.064
31-Ga 0.939  0.000 0.000 0.061
32-Ge 0.941  0.000 0.000 0.059
33-As 0.943  0.000 0.000 0.057
34-Se 0.945  0.000 0.000 0.055
35-Br 0.947  0.000 0.000 0.053
36-Kr 0.949  0.000 0.000 0.051
37-Rb 0.951  0.000 0.000 0.049
38-Sr 0.953  0.000 0.000 0.047
39-Y  0.940  0.039 0.000 0.021
40-Zr 0.926  0.031 0.000 0.043
41-Nb 0.919  0.041 0.000 0.040
42-Mo 0.911  0.050 0.000 0.039
43-Tc 0.905  0.058 0.000 0.037
44-Ru 0.898  0.066 0.000 0.036
45-Rh 0.886  0.080 0.000 0.034
46-Pd 0.874  0.093 0.000 0.033
47-Ag 0.875  0.093 0.000 0.032
48-Cd 0.876  0.093 0.000 0.031
49-In 0.872  0.098 0.000 0.030
50-Sn 0.868  0.102 0.000 0.029
51-Sb 0.866  0.105 0.000 0.029
52-Te 0.863  0.109 0.000 0.028
53-I  0.859  0.114 0.000 0.027
54-Xe 0.855  0.120 0.000 0.026
55-Cs 0.854  0.122 0.000 0.025
56-Ba 0.852  0.124 0.000 0.024
57-La 0.850  0.126 0.000 0.024
58-Ce 0.847  0.130 0.000 0.023
59-Pr 0.845  0.132 0.000 0.023
60-Nd 0.843  0.135 0.000 0.022
61-Pm 0.842  0.136 0.000 0.022
62-Sn 0.841  0.139 0.000 0.021
63-Eu 0.840  0.139 0.000 0.021
64-Gd 0.838  0.142 0.000 0.020
65-Tb 0.837  0.144 0.000 0.020
66-Dy 0.836  0.145 0.000 0.019
67-Ho 0.835  0.146 0.000 0.019
68-Er 0.834  0.148 0.000 0.018
69-Tm 0.833  0.150 0.000 0.018
70-Yb 0.831  0.151 0.000 0.017
71-Lu 0.831  0.152 0.000 0.017
72-Hf 0.830  0.153 0.000 0.017
73-Ta 0.826  0.157 0.000 0.017
74-W  0.822  0.155 0.006 0.017
75-Re 0.817  0.156 0.010 0.017
76-Os 0.812  0.157 0.013 0.017
77-Ir 0.808  0.158 0.017 0.017
78-Pt 0.804  0.159 0.019 0.017
79-Au 0.800  0.160 0.022 0.018
80-Hg 0.796  0.162 0.025 0.018
81-Tl 0.792  0.163 0.027 0.018
82-Pb 0.788  0.165 0.029 0.018
83-Bi 0.785  0.166 0.030 0.019
84-Po 0.781  0.168 0.032 0.019
85-At 0.778  0.169 0.034 0.019
86-Ru 0.774  0.172 0.035 0.019
87-Fr 0.771  0.174 0.036 0.019
88-Ra 0.768  0.176 0.037 0.019
89-Ac 0.766  0.178 0.037 0.020
90-Th 0.763  0.178 0.038 0.020
91-Pa 0.760  0.182 0.039 0.020
92-U  0.756  0.182 0.039 0.020
93-Np 0.756  0.182 0.039 0.020
94-Pu 0.756  0.184 0.039 0.020
95-Am 0.754  0.187 0.039 0.020
96-Cm 0.752  0.188 0.039 0.021
