Sr la1 50 0.0207474
Fe ka 50.0 0.0118316
La la1 50.0 0.0838198
Zr ka 60.0 0.80975
Zr la1 50.0 0.402898
Y ka 60.0 0.22287
Y la1 50.0 0.0834527
