1
10 0.739
ZrO2 0.3477
Fe2O3 0.3462
Y2O3 0.0876
HfO2 0.0261
Al2O3 0.0267
SiO2 0.0262
K 0.0226
Na 0.0207
ELVACIT 0.0435
Cl 0.0524
