1
11 5.0
Si 0.0017
Mn 0.0114
Cu 0.7874
Cr 0.0008
Ni 0.0631
Al 0.0831
Sn 0.0004
Fe 0.0458
Zn 0.0051
Mn 0.0005
Pb 0.0007
