Mg ka 50.0
Al ka 50.0
Si ka 50.0
P ka 50.0
K ka 50.0
Ca kb1 50.0
Ti ka 50.0
Mn ka 50.0 Al 0.081
Fe ka 50.0
Co ka 50.0
Ni ka 50.0
Cu kb1 50.0
Zn ka 50.0
Sr ka 50.0
Sn ka 50.0
Sn la1 50.0
Te ka 50.0
Ba ka 50.0
Ba kb1 50.0
Ta la1 50.0
W la1 50.0
Pb la1 50.0
